scale,k,n_frames,observed_presence,null_presence,excess
individual,7,2,0.0,0.2275,-0.2275
individual,8,2,0.0,0.225,-0.225
individual,9,5,0.6,0.33599999999999997,0.264
individual,10,8,0.25,0.375,-0.125
individual,11,9,0.6666666666666666,0.5027777777777778,0.16388888888888886
individual,12,20,0.7,0.54575,0.15425
individual,13,11,0.9090909090909091,0.5745454545454546,0.3345454545454545
individual,14,22,0.8636363636363636,0.7029545454545455,0.16068181818181815
individual,15,20,0.9,0.76275,0.13724999999999998
individual,16,57,0.9824561403508771,0.803859649122807,0.1785964912280701
individual,17,94,0.9787234042553191,0.8511702127659575,0.12755319148936162
individual,18,185,0.9783783783783784,0.8972162162162163,0.0811621621621621
individual,19,301,0.9867109634551495,0.9314119601328904,0.05529900332225912
individual,20,367,0.989100817438692,0.957125340599455,0.03197547683923707
individual,21,296,0.9898648648648649,0.970472972972973,0.019391891891891944
individual,22,101,1.0,0.979009900990099,0.02099009900990101
tactical,2,47,0.0,0.0,0.0
tactical,3,271,0.0,0.0,0.0
tactical,4,341,0.0,0.007741935483870968,-0.007741935483870968
tactical,5,357,0.12044817927170869,0.047941176470588244,0.07250700280112043
tactical,6,233,0.33476394849785407,0.12545064377682402,0.20931330472103005
tactical,7,140,0.5642857142857143,0.2304642857142857,0.3338214285714286
tactical,8,72,0.75,0.3445138888888889,0.4054861111111111
tactical,9,26,0.9230769230769231,0.43153846153846154,0.4915384615384616
tactical,10,7,0.8571428571428571,0.5185714285714286,0.3385714285714285
tactical,11,6,1.0,0.6508333333333334,0.3491666666666666
