match_id,frame_idx,scale,k,h1_observed,null_presence_rate
2017461,0,individual,19,1,0.905
2017461,0,tactical,4,0,0.0
2017461,1,individual,12,0,0.475
2017461,1,tactical,2,0,0.0
2017461,2,individual,15,1,0.84
2017461,2,tactical,4,0,0.015
2017461,3,individual,22,1,0.985
2017461,3,tactical,4,0,0.02
2017461,4,individual,20,1,0.955
2017461,4,tactical,6,1,0.155
2017461,5,individual,17,1,0.89
2017461,5,tactical,4,0,0.01
2017461,6,individual,18,1,0.82
2017461,6,tactical,3,0,0.0
2017461,7,individual,21,1,0.95
2017461,7,tactical,5,0,0.01
2017461,8,individual,19,1,0.945
2017461,8,tactical,5,0,0.09
2017461,9,individual,21,1,0.965
2017461,9,tactical,6,0,0.1
2017461,10,individual,20,1,0.975
2017461,10,tactical,5,0,0.025
2017461,11,individual,20,1,0.975
2017461,11,tactical,5,0,0.105
2017461,12,individual,19,1,0.94
2017461,12,tactical,7,1,0.185
2017461,13,individual,21,1,0.99
2017461,13,tactical,7,1,0.215
2017461,14,individual,21,1,0.955
2017461,14,tactical,5,1,0.055
2017461,15,individual,16,1,0.82
2017461,15,tactical,5,0,0.02
2017461,16,individual,17,1,0.87
2017461,16,tactical,4,0,0.005
2017461,17,individual,22,1,0.96
2017461,17,tactical,4,0,0.01
2017461,18,individual,17,1,0.78
2017461,18,tactical,3,0,0.0
2017461,19,individual,20,1,0.95
2017461,19,tactical,7,0,0.165
2017461,20,individual,20,1,0.95
2017461,20,tactical,6,0,0.155
2017461,21,individual,21,1,0.97
2017461,21,tactical,5,0,0.065
2017461,22,individual,19,1,0.93
2017461,22,tactical,3,0,0.0
2017461,23,individual,21,1,0.96
2017461,23,tactical,6,0,0.2
2017461,24,individual,17,1,0.895
2017461,24,tactical,6,0,0.09
2017461,25,individual,21,1,0.985
2017461,25,tactical,7,1,0.25
2017461,26,individual,21,1,0.97
2017461,26,tactical,5,0,0.035
2017461,27,individual,17,1,0.935
2017461,27,tactical,7,1,0.21
2017461,28,individual,17,1,0.895
2017461,28,tactical,4,0,0.02
2017461,29,individual,20,1,0.875
2017461,29,tactical,5,0,0.025
2017461,30,individual,17,1,0.82
2017461,30,tactical,4,0,0.005
2017461,31,individual,18,1,0.83
2017461,31,tactical,4,0,0.005
2017461,32,individual,16,1,0.775
2017461,32,tactical,3,0,0.0
2017461,33,individual,20,1,0.945
2017461,33,tactical,3,0,0.0
2017461,34,individual,19,1,0.905
2017461,34,tactical,5,1,0.04
2017461,35,individual,19,1,0.91
2017461,35,tactical,5,0,0.04
2017461,36,individual,14,1,0.645
2017461,36,tactical,4,0,0.01
2017461,37,individual,16,1,0.745
2017461,37,tactical,3,0,0.0
2017461,38,individual,20,1,0.945
2017461,38,tactical,4,0,0.005
2017461,39,individual,18,1,0.88
2017461,39,tactical,4,0,0.005
2017461,40,individual,17,1,0.735
2017461,40,tactical,3,0,0.0
2017461,41,individual,15,1,0.67
2017461,41,tactical,3,0,0.0
2017461,42,individual,10,0,0.375
2017461,42,tactical,3,0,0.0
2017461,43,individual,18,1,0.835
2017461,43,tactical,3,0,0.0
2017461,44,individual,21,1,0.94
2017461,44,tactical,3,0,0.0
2017461,45,individual,17,1,0.865
2017461,45,tactical,4,0,0.0
2017461,46,individual,16,1,0.85
2017461,46,tactical,4,0,0.01
2017461,47,individual,15,1,0.785
2017461,47,tactical,4,0,0.01
2017461,48,individual,14,1,0.57
2017461,48,tactical,4,0,0.005
2017461,49,individual,17,1,0.9
2017461,49,tactical,5,0,0.03
2017461,50,individual,22,1,0.99
2017461,50,tactical,3,0,0.0
2017461,51,individual,21,1,0.965
2017461,51,tactical,6,1,0.105
2017461,52,individual,20,1,0.99
2017461,52,tactical,7,1,0.31
2017461,53,individual,19,1,0.95
2017461,53,tactical,5,0,0.03
2017461,54,individual,19,1,0.945
2017461,54,tactical,6,0,0.065
2017461,55,individual,19,1,0.905
2017461,55,tactical,5,1,0.07
2017461,56,individual,21,1,0.965
2017461,56,tactical,5,0,0.02
2017461,57,individual,18,1,0.88
2017461,57,tactical,4,0,0.015
2017461,58,individual,21,1,0.945
2017461,58,tactical,6,0,0.045
2017461,59,individual,21,1,0.985
2017461,59,tactical,5,0,0.05
2017461,60,individual,22,1,0.985
2017461,60,tactical,7,1,0.185
2017461,61,individual,22,1,0.985
2017461,61,tactical,7,1,0.255
2017461,62,individual,22,1,0.985
2017461,62,tactical,7,1,0.225
2017461,63,individual,21,1,0.975
2017461,63,tactical,5,0,0.05
2017461,64,individual,16,1,0.82
2017461,64,tactical,5,0,0.015
2017461,65,individual,21,1,0.96
2017461,65,tactical,4,0,0.015
2017461,66,individual,21,1,0.965
2017461,66,tactical,5,0,0.07
2017461,67,individual,18,1,0.87
2017461,67,tactical,4,0,0.0
2017461,68,individual,17,1,0.81
2017461,68,tactical,3,0,0.0
2017461,69,individual,21,1,0.97
2017461,69,tactical,4,0,0.01
2017461,70,individual,20,1,0.96
2017461,70,tactical,5,0,0.055
2017461,71,individual,17,1,0.895
2017461,71,tactical,4,0,0.005
2017461,72,individual,19,1,0.91
2017461,72,tactical,6,0,0.095
2017461,73,individual,19,1,0.96
