frame_idx,match_id,scale,cutoff,method,n_clusters,h0,h1,mean_persistence,max_persistence,chaining_ratio
0,g2293068,individual,2.98,single,20,20,4,1.7957594394683838,3.9758310317993164,1.0
0,g2293068,individual,2.98,complete,20,20,4,1.7957594394683838,3.9758310317993164,1.0
0,g2293068,individual,2.98,ward,20,20,4,1.7957594394683838,3.9758310317993164,1.0
0,g2293068,tactical,12.0,single,6,6,0,0.0,0.0,7.5
0,g2293068,tactical,12.0,complete,12,12,2,2.644744873046875,5.197874069213867,1.3333333333333333
0,g2293068,tactical,12.0,ward,12,12,2,2.644744873046875,5.197874069213867,1.3333333333333333
0,g2293068,team,30.0,single,1,1,0,0.0,0.0,22.0
0,g2293068,team,30.0,complete,5,5,0,0.0,0.0,1.125
0,g2293068,team,30.0,ward,6,6,1,3.372386932373047,3.372386932373047,1.6
1,g2293068,individual,2.98,single,20,20,3,2.279621442159017,4.428545951843262,1.0
1,g2293068,individual,2.98,complete,20,20,3,2.279621442159017,4.428545951843262,1.0
1,g2293068,individual,2.98,ward,20,20,3,2.279621442159017,4.428545951843262,1.0
1,g2293068,tactical,12.0,single,2,2,0,0.0,0.0,21.0
1,g2293068,tactical,12.0,complete,12,12,1,4.819816589355469,4.819816589355469,1.0
1,g2293068,tactical,12.0,ward,12,12,1,5.653432846069336,5.653432846069336,1.0
1,g2293068,team,30.0,single,1,1,0,0.0,0.0,22.0
1,g2293068,team,30.0,complete,5,5,1,1.6151237487792969,1.6151237487792969,1.1666666666666667
1,g2293068,team,30.0,ward,5,5,1,4.709188461303711,4.709188461303711,1.1428571428571428
2,g2293068,individual,2.98,single,20,20,4,1.1709703207015991,2.7868995666503906,1.0
2,g2293068,individual,2.98,complete,20,20,4,1.1709703207015991,2.7868995666503906,1.0
2,g2293068,individual,2.98,ward,20,20,4,1.1709703207015991,2.7868995666503906,1.0
2,g2293068,tactical,12.0,single,3,3,0,0.0,0.0,20.0
2,g2293068,tactical,12.0,complete,11,11,2,3.071089267730713,3.843512535095215,1.0
2,g2293068,tactical,12.0,ward,11,11,2,3.071089267730713,3.843512535095215,1.0
2,g2293068,team,30.0,single,2,2,0,0.0,0.0,21.0
2,g2293068,team,30.0,complete,4,4,0,0.0,0.0,2.0
2,g2293068,team,30.0,ward,5,5,0,0.0,0.0,4.0
3,g2293068,individual,2.98,single,20,20,2,0.9929695129394531,1.5057258605957031,1.0
3,g2293068,individual,2.98,complete,20,20,2,0.9929695129394531,1.5057258605957031,1.0
3,g2293068,individual,2.98,ward,20,20,2,0.9929695129394531,1.5057258605957031,1.0
3,g2293068,tactical,12.0,single,6,6,1,5.119899749755859,5.119899749755859,7.5
3,g2293068,tactical,12.0,complete,11,11,1,5.347951889038086,5.347951889038086,1.3333333333333333
3,g2293068,tactical,12.0,ward,12,12,2,1.1282663345336914,1.1780242919921875,1.0
3,g2293068,team,30.0,single,1,1,0,0.0,0.0,22.0
3,g2293068,team,30.0,complete,5,5,0,0.0,0.0,1.1666666666666667
3,g2293068,team,30.0,ward,6,6,1,2.007770538330078,2.007770538330078,1.0
4,g2293068,individual,2.98,single,19,19,2,0.8125410079956055,1.4382915496826172,1.0
4,g2293068,individual,2.98,complete,19,19,2,0.8125410079956055,1.4382915496826172,1.0
4,g2293068,individual,2.98,ward,19,19,2,0.8125410079956055,1.4382915496826172,1.0
4,g2293068,tactical,12.0,single,7,7,1,2.0160655975341797,2.0160655975341797,7.0
4,g2293068,tactical,12.0,complete,12,12,1,0.3849048614501953,0.3849048614501953,2.0
4,g2293068,tactical,12.0,ward,13,13,1,1.4392147064208984,1.4392147064208984,1.0
4,g2293068,team,30.0,single,1,1,0,0.0,0.0,22.0
4,g2293068,team,30.0,complete,6,6,1,0.41902732849121094,0.41902732849121094,1.6
4,g2293068,team,30.0,ward,6,6,1,1.8725109100341797,1.8725109100341797,1.0
5,g2293068,individual,2.98,single,18,18,2,0.38507986068725586,0.6643123626708984,1.0
5,g2293068,individual,2.98,complete,18,18,2,0.38507986068725586,0.6643123626708984,1.0
5,g2293068,individual,2.98,ward,18,18,2,0.38507986068725586,0.6643123626708984,1.0
5,g2293068,tactical,12.0,single,5,5,0,0.0,0.0,18.0
5,g2293068,tactical,12.0,complete,11,11,1,4.806018829345703,4.806018829345703,1.3333333333333333
