frame_idx,period,timestamp,n_players,h0_individual,h1_individual,n_centroids_individual,max_filt_individual,mean_pers_individual,max_pers_individual,total_pers_individual,h0_tactical,h1_tactical,n_centroids_tactical,max_filt_tactical,mean_pers_tactical,max_pers_tactical,total_pers_tactical,h0_team,h1_team,n_centroids_team,max_filt_team,mean_pers_team,max_pers_team,total_pers_team
0,1,0.0,22,20,3,20,30.94,1.246,2.0337,3.738,4,0,4,48.06,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
1,1,0.0,22,17,3,17,24.24,1.0279,2.2737,3.0838,3,0,3,63.64,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
2,1,0.0,22,19,4,19,39.75,3.7892,4.9868,15.1568,5,0,5,56.51,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
3,1,1.0,22,20,5,20,32.99,2.7129,8.4635,13.5643,3,0,3,61.95,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
4,1,1.0,22,19,4,19,32.01,1.3064,2.2441,5.2256,4,0,4,51.02,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
5,1,2.0,22,18,4,18,28.79,1.1939,2.9309,4.7754,2,0,2,54.7,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
6,1,2.0,22,18,1,18,35.52,2.4657,2.4657,2.4657,5,0,5,48.34,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
7,1,3.0,22,18,0,18,29.35,0.0,0.0,0.0,4,0,4,49.56,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
8,1,3.0,22,16,1,16,25.88,2.1069,2.1069,2.1069,4,0,4,48.28,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
9,1,4.0,22,20,2,20,32.92,2.6289,2.8115,5.2579,3,0,3,53.25,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
10,1,5.0,22,15,2,15,30.23,0.5695,0.7847,1.139,3,0,3,47.83,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
11,1,6.0,22,21,1,21,36.02,1.2853,1.2853,1.2853,5,0,5,56.07,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
12,1,6.0,22,21,2,21,32.71,2.0274,2.2367,4.0547,6,0,6,53.35,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
13,1,7.0,22,20,5,20,33.76,1.4546,5.1468,7.2732,4,0,4,38.78,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
14,1,7.0,22,19,4,19,31.24,0.8408,2.0152,3.3633,6,0,6,43.17,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
15,1,8.0,22,20,3,20,36.51,1.7379,4.6321,5.2137,4,0,4,46.17,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
16,1,8.0,22,20,2,20,32.8,1.8278,1.8935,3.6555,5,0,5,48.03,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
17,1,9.0,22,9,0,9,37.57,0.0,0.0,0.0,4,0,4,57.18,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
18,1,10.0,22,20,1,20,34.68,4.7745,4.7745,4.7745,6,0,6,40.46,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
19,1,10.0,22,21,4,21,39.88,2.8693,3.6466,11.4773,9,1,9,46.93,2.7504,2.7504,2.7504,0,0,1,60.0,0.0,0.0,0.0
20,1,11.0,22,16,4,16,31.33,1.4105,4.511,5.6419,4,0,4,45.4,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
21,1,11.0,22,21,3,21,40.47,1.6792,3.3337,5.0375,6,0,6,54.17,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
22,1,12.0,22,20,2,20,33.96,3.226,4.4321,6.452,4,0,4,49.03,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
23,1,12.0,22,20,5,20,35.12,1.1612,2.0174,5.8059,4,0,4,51.91,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
24,1,13.0,22,18,2,18,31.85,1.0899,1.9705,2.1798,4,0,4,48.87,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
25,1,13.0,22,17,1,17,34.25,0.4949,0.4949,0.4949,4,0,4,46.31,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
26,1,14.0,22,21,1,21,33.0,2.8532,2.8532,2.8532,5,1,5,43.63,2.9422,2.9422,2.9422,0,0,1,60.0,0.0,0.0,0.0
27,1,14.0,22,20,3,20,34.5,3.1343,4.2489,9.4028,4,0,4,52.55,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
28,1,15.0,22,20,3,20,33.25,1.8985,2.0815,5.6955,4,0,4,52.21,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
29,1,15.0,22,19,3,19,29.67,1.0921,1.858,3.2762,5,0,5,48.32,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
30,1,16.0,22,20,3,20,36.39,2.2817,4.0814,6.8451,6,1,6,50.3,0.2359,0.2359,0.2359,0,0,1,60.0,0.0,0.0,0.0
31,1,16.0,22,19,1,19,33.91,0.747,0.747,0.747,3,0,3,50.09,0.0,0.0,0.0,2,0,2,60.47,0.0,0.0,0.0
32,1,17.0,22,21,2,21,39.21,3.0714,4.1201,6.1427,6,1,6,43.19,4.4261,4.4261,4.4261,2,0,2,60.0,0.0,0.0,0.0
33,1,18.0,22,13,1,13,34.53,2.4452,2.4452,2.4452,5,0,5,50.61,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
34,1,18.0,22,21,3,21,41.92,0.6744,1.1513,2.0231,8,0,8,52.72,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
35,1,19.0,22,20,3,20,33.5,1.7201,3.2206,5.1603,4,0,4,48.14,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
36,1,19.0,22,19,3,19,35.79,2.2858,4.1403,6.8575,7,1,7,49.17,2.1316,2.1316,2.1316,0,0,1,60.0,0.0,0.0,0.0
37,1,20.0,22,19,4,19,34.11,1.5983,2.7606,6.3933,6,0,6,54.03,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
38,1,20.0,22,20,2,20,34.77,1.3291,1.3518,2.6582,5,0,5,47.88,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
39,1,21.0,22,18,4,18,38.74,1.9859,3.8941,7.9437,6,0,6,53.7,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
40,1,22.0,22,19,1,19,34.74,0.3739,0.3739,0.3739,4,0,4,43.51,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
41,1,23.0,22,16,1,16,31.46,3.5243,3.5243,3.5243,4,0,4,48.73,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
42,1,23.0,22,19,2,19,39.02,4.2092,4.3506,8.4185,8,1,8,49.65,2.965,2.965,2.965,0,0,1,60.0,0.0,0.0,0.0
43,1,24.0,22,13,2,13,34.61,0.6129,0.8591,1.2259,4,0,4,57.12,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
44,1,25.0,22,21,5,21,41.2,1.1992,2.4825,5.9959,9,1,9,46.0,9.0605,9.0605,9.0605,2,0,2,60.0,0.0,0.0,0.0
45,1,25.0,22,21,2,21,35.91,4.2389,4.7794,8.4778,6,0,6,53.41,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
46,1,26.0,22,20,5,20,35.38,0.9836,2.6677,4.9182,4,0,4,48.69,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
47,1,27.0,22,10,0,10,39.1,0.0,0.0,0.0,4,0,4,58.58,0.0,0.0,0.0,2,0,2,60.14,0.0,0.0,0.0
48,1,27.0,22,22,3,22,38.98,0.8894,1.9458,2.6682,6,1,6,47.1,1.0982,1.0982,1.0982,2,0,2,60.0,0.0,0.0,0.0
49,1,28.0,22,22,7,22,41.7,1.6485,5.1756,11.5393,9,2,9,44.19,1.6773,2.3334,3.3545,0,0,1,60.0,0.0,0.0,0.0
50,1,28.0,22,21,4,21,34.11,1.3461,3.0289,5.3844,5,0,5,57.99,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
51,1,29.0,22,22,4,22,41.41,1.7159,4.2662,6.8638,4,0,4,45.0,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
52,1,30.0,22,17,2,17,32.55,1.0822,1.1237,2.1645,4,0,4,48.38,0.0,0.0,0.0,0,0,1,60.0,0.0,0.0,0.0
53,1,30.0,22,18,2,18,31.91,2.3088,3.9148,4.6176,3,0,3,52.81,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
54,1,31.0,22,19,4,19,39.44,2.4291,5.701,9.7163,8,0,8,41.95,0.0,0.0,0.0,2,0,2,60.0,0.0,0.0,0.0
